SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE,FUND_NORM,TECH_NORM,RS_RANK,COMPOSITE_SCORE,PASS_FUND,PASS_RS,PASS_SCREEN
BHARATFORG,Forgings,1923.9,0.2092394720301698,0.3775597880567092,0.6694724054147865,0.5345076577139405,0.6733406116836733,74.69975980784629,70.0,54.83,2026-03-06,54.83,70.0,97.87234042553192,69.50646808510639,False,True,False
DIVGIITTS,Transmission,721.05,0.152942117045091,0.1205998912114381,0.1096491228070175,-0.0253156248938284,0.1135173290759044,46.48203592814371,80.0,49.92,2026-03-06,49.92,80.0,63.829787234042556,64.73395744680852,False,True,False
BHARATSE,Seating,176.48,0.1158320687910976,-0.0170983013088277,0.618637072365404,0.483672324664558,0.6225052786342908,55.20238191035647,60.0,52.61,2026-03-06,52.61,60.0,93.61702127659575,63.76740425531915,False,True,False
SANSERA,Forgings,2197.7,0.1565016050097352,0.4207123925269893,0.723821476194211,0.588856728493365,0.7276896824630978,46.039603960396015,60.0,48.59,2026-03-06,48.59,60.0,100.0,63.43600000000001,False,True,False
AUTOAXLES,Axles,1987.0,-0.0579813208173328,0.2024933430162188,0.2149932738168032,0.0800285261159572,0.21886148008569,45.62982005141387,60.0,58.77,2026-03-06,58.77,60.0,78.72340425531915,63.252680851063836,False,True,False
GNA,Axles,426.25,0.0248857898533301,0.3633455941148249,0.4046795188663701,0.2697147711655241,0.4085477251352569,47.02058504875406,60.0,54.47,2026-03-06,54.47,60.0,85.1063829787234,62.80927659574468,False,True,False
LUMAXIND,Lighting,5576.5,0.0538599640933572,0.0908219553225617,0.6683120923831749,0.5333473446823289,0.6721802986520617,33.83625351503353,50.0,57.69,2026-03-06,57.69,50.0,95.74468085106383,62.22493617021277,False,True,False
JAMNAAUTO,Suspension,132.57,0.017968210089841,0.2102428336680664,0.457293613279103,0.322328865578257,0.4611618195479898,47.25532330533308,60.0,48.3,2026-03-06,48.3,60.0,87.2340425531915,60.7668085106383,False,True,False
WHEELS,Wheels,880.25,0.0270096838175242,-0.0143329040927159,0.2068138195777351,0.0718490718768891,0.210682025846622,53.795740032768975,60.0,46.83,2026-03-06,46.83,60.0,76.59574468085107,58.051148936170215,False,True,False
SONACOMS,Electrical,514.95,-0.033592943605142,0.0540374577832361,0.1696763202725724,0.0347115725717264,0.1735445265414592,43.583415597235934,60.0,49.66,2026-03-06,49.66,60.0,70.2127659574468,57.906553191489365,False,True,False
TIINDIA,Other,2722.9,0.0324182907408812,-0.1018570439027607,-0.098884733759142,-0.233849481459988,-0.0950165274902552,67.2246966671786,80.0,48.73,2026-03-06,48.73,80.0,29.78723404255319,57.44944680851064,False,False,False
MOTHERSON,Electrical,122.77,0.0012232914695806,0.1267437591776798,0.3600310180569404,0.2250662703560944,0.3638992243258272,36.94247923715782,50.0,51.57,2026-03-06,51.57,50.0,82.97872340425532,57.22374468085107,False,True,False
LUMAXTECH,Lighting,1531.9,0.0025523560209423,0.1208751006073023,0.4965806955842127,0.3616159478833667,0.5004489018530995,42.36420670298829,40.0,54.51,2026-03-06,54.51,40.0,91.48936170212765,56.10187234042553,False,True,False
RANEENGINE,Engine/Parts,317.75,0.1790352504638219,-0.156154561147258,-0.2401052253975846,-0.3750699730984306,-0.2362370191286977,63.3225806451613,80.0,50.88,2026-03-06,50.88,80.0,6.382978723404255,53.62859574468086,False,False,False
RICOAUTO,Castings,113.3,-0.1335270724992352,0.0055915505458417,0.494525788154597,0.359561040453751,0.4983939944234838,39.08828923238146,30.0,49.07,2026-03-06,49.07,30.0,89.36170212765957,49.50034042553192,False,True,False
