SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE
BHARATFORG,Forgings,1923.9,0.2092394720301698,0.3775597880567092,0.6694724054147865,0.5345076577139405,0.6733406116836733,74.69975980784629,70.0,54.83,2026-03-06
UNOMINDA,Electrical,1121.3,-0.06930610889774236,-0.1323222162036679,0.04853188703946132,-0.08643286066138467,0.05240009330834816,25.050833672224456,20.0,49.36,2026-03-06
BOSCHLTD,Electrical,33335.0,-0.09193680196131848,-0.10014846807936295,-0.13662263662263663,-0.2715873843234826,-0.13275443035374979,32.36173393124065,30.0,53.48,2026-03-06
EXIDEIND,Battery,315.95,-0.0748169838945828,-0.17182175622542595,-0.1606004250797024,-0.2955651727805484,-0.15673221881081556,32.66832917705733,30.0,51.12,2026-03-06
MOTHERSON,Electrical,122.77,0.0012232914695806674,0.12674375917767988,0.3600310180569404,0.2250662703560944,0.3638992243258272,36.94247923715782,50.0,51.57,2026-03-06
TIINDIA,Other,2722.9,0.032418290740881206,-0.10185704390276074,-0.09888473375914208,-0.23384948145998807,-0.09501652749025524,67.2246966671786,80.0,48.73,2026-03-06
SONACOMS,Electrical,514.95,-0.03359294360514209,0.0540374577832361,0.1696763202725724,0.03471157257172641,0.17354452654145924,43.583415597235934,60.0,49.66,2026-03-06
APOLLOTYRE,Tyres,439.75,-0.142202282258851,-0.15885615914307571,-0.015448337624538233,-0.15041308532538422,-0.01158013135565139,23.874345549738223,20.0,53.44,2026-03-06
MRF,Tyres,138780.0,0.008282476024411567,-0.1058565814058372,-0.012487992315081686,-0.14745274001592767,-0.008619786046194844,32.46089515254762,30.0,49.41,2026-03-06
AMARAJABAT,Battery,604.15,-0.05112297785456266,-0.03782449434623347,-0.004203065765617353,-0.13916781346646334,-0.00033485949673051074,27.605459057071897,20.0,10.0,2026-03-06
ASKAUTOLTD,Other,391.85,-0.1468539081210537,-0.18296497080900753,-0.1688408102661999,-0.3038055579670459,-0.16497260399731306,24.082421120412135,20.0,71.28,2026-03-06
AUTOAXLES,Axles,1987.0,-0.05798132081733287,0.2024933430162188,0.21499327381680322,0.08002852611595723,0.21886148008569006,45.62982005141387,60.0,58.77,2026-03-06
BANCOINDIA,Other,581.9,-0.096568855767738,-0.2519123224272033,0.07759259259259266,-0.05737215510825333,0.0814607988614795,20.588235294117695,20.0,54.64,2026-03-06
BHARATGEAR,Gears,101.15,-0.1271895763223746,0.12752201538290064,0.14010369702434633,0.005138949323500341,0.14397190329323317,36.429471032745596,30.0,51.91,2026-03-06
BHARATSE,Seating,176.48,0.11583206879109764,-0.017098301308827724,0.618637072365404,0.483672324664558,0.6225052786342908,55.20238191035647,60.0,52.61,2026-03-06
CRAFTSMAN,Castings,7458.0,-0.04975473020322352,0.11197256597584615,0.08385409097514906,-0.051110656725696924,0.08772229724403591,41.21840570317563,40.0,54.65,2026-03-06
DIVGIITTS,Transmission,721.05,0.15294211704509109,0.1205998912114381,0.10964912280701755,-0.025315624893828437,0.1135173290759044,46.48203592814371,80.0,49.92,2026-03-06
ENDURANCE,Engine/Parts,2451.8,0.002125398512221155,-0.062445030782761535,-0.023187250996015818,-0.1581519986968618,-0.019319044727128976,47.420382165605126,40.0,51.27,2026-03-06
FIEMIND,Lighting,2094.7,-0.10033071339604016,-0.09527922947350254,0.15767657787111733,0.02271183017027134,0.16154478414000417,26.989853438556935,20.0,49.06,2026-03-06
GABRIEL,Suspension,916.25,-0.054339973165445365,-0.06714518428018734,-0.14015578078078073,-0.2751205284816267,-0.13628757451189388,35.765573452357856,30.0,48.43,2026-03-06
GNA,Axles,426.25,0.02488578985333012,0.3633455941148249,0.4046795188663701,0.2697147711655241,0.40854772513525694,47.02058504875406,60.0,54.47,2026-03-06
HARSHA,Forgings,362.05,-0.08883855542972197,-0.08190693546342087,-0.11598095470638503,-0.250945702407231,-0.11211274843749819,34.799685781618265,30.0,49.7,2026-03-06
