date_issued,symbol,sector,company,signal,setup_class,investment_score,technical_score,rsi,supertrend_state,price_at_issue,entry_low,entry_high,stop_loss,target_1,target_2,regime_at_issue,fno_pcr,fno_oi_change_5d,fno_buildup,fno_signal,date_resolved,price_at_resolution,return_pct,hit_target,hit_stop,action_bucket,action_reason,fii_flow_signal,insider_alert,insider_score,insider_detail
2026-05-02,COALINDIA,Metals & Mining,COAL INDIA LTD,BUY,LEADER_BREAKOUT,80.04,79.3,62.8,BULLISH,467.0,462.33,462.53,436.7,464.85,526.41,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,CHENNPETRO,Energy - Oil & Gas,CHENNAI PETROLEUM CORP LT,BUY,NEUTRAL,71.01,79.3,58.5,BULLISH,1072.3,1061.58,1093.75,997.89,1103.0,1220.82,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,ATGL,Energy - Oil & Gas,ADANI TOTAL GAS LIMITED,BUY,NEUTRAL,70.92,77.3,69.5,BULLISH,653.85,647.31,646.25,608.47,649.5,744.41,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,ONGC,Energy - Oil & Gas,OIL AND NATURAL GAS CORP.,HOLD,NEUTRAL,69.67,64.0,72.3,BULLISH,301.3,298.29,291.54,280.39,293.0,343.03,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,ASTRAMICRO,Defence & Aerospace,ASTRA MICROWAVE LTD,BUY,NEUTRAL,68.23,66.0,60.6,BULLISH,1096.3,1085.34,1118.23,1027.83,1149.0,1229.11,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,DATAPATTNS,Defence & Aerospace,DATA PATTERNS INDIA LTD,HOLD,NEUTRAL,66.12,56.7,71.3,BULLISH,4059.9,4019.3,4141.1,3778.14,4189.9,4622.2,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,KIRLOSENG,Energy - Oil & Gas,KIRLOSKAR OIL ENG LTD,HOLD,NEUTRAL,65.87,53.3,72.2,BULLISH,1724.4,1707.16,1688.22,1604.73,1696.7,1963.23,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,AZAD,Defence & Aerospace,AZAD ENGINEERING LIMITED,HOLD,NEUTRAL,65.12,58.0,79.3,BULLISH,2201.0,2178.99,2238.75,2048.25,2250.0,2505.84,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,OIL,Energy - Oil & Gas,OIL INDIA LTD,HOLD,LEADER_BREAKOUT,63.69,54.0,62.6,BULLISH,497.2,492.23,490.04,462.7,492.5,566.06,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,WELCORP,Metals & Mining,WELSPUN CORP LIMITED,WEAK_HOLD,NEUTRAL,63.5,47.3,88.7,BULLISH,1226.4,1214.14,1228.78,1141.29,1234.95,1396.26,BEAR_TREND,,,,,,,,,,,,,,,
